NAME                                    READY   STATUS     RESTARTS   AGE
admin-service-6b4c4896f-54xwg           0/1     Init:0/1   0          31s
api-gateway-7f886fff4d-7zqz5            1/1     Running    0          34m
config-server-5bdb8bc975-f8gpv          1/1     Running    0          37m
eureka-server-7796b59454-x8pmt          1/1     Running    0          37m
frontend-686b7dbfb9-79fd2               1/1     Running    0          79m
kyc-service-7779dc9749-lzg78            0/1     Init:0/1   0          31s
notification-service-79fc5cd765-ssdfg   0/1     Running    0          32s
payment-service-5b688ffc75-lxk95        0/1     Running    0          33s
rabbitmq-67cfd4f989-kb8dv               1/1     Running    0          12h
rewards-service-7d46494c69-tzr86        0/1     Running    0          33s
transaction-service-fd77fcd6-gcsr9      0/1     Running    0          33s
user-service-c58b6fd9-5ttdm             0/1     Running    0          33s
wallet-service-68ff985b65-fqg7l         0/1     Init:0/1   0          31s
user-service-c58b6fd9-5ttdm             0/1     Error      0          40s
user-service-c58b6fd9-5ttdm             0/1     Running    1 (4s ago)   42s
wallet-service-68ff985b65-fqg7l         0/1     Init:0/1   0            41s
kyc-service-7779dc9749-lzg78            0/1     Init:0/1   0            41s
kyc-service-7779dc9749-lzg78            0/1     PodInitializing   0            42s
wallet-service-68ff985b65-fqg7l         0/1     PodInitializing   0            42s
admin-service-6b4c4896f-54xwg           0/1     PodInitializing   0            43s
wallet-service-68ff985b65-fqg7l         0/1     Running           0            44s
rewards-service-7d46494c69-tzr86        0/1     Error             0            47s
rewards-service-7d46494c69-tzr86        0/1     Running           1 (2s ago)   49s
kyc-service-7779dc9749-lzg78            0/1     Running           0            49s
admin-service-6b4c4896f-54xwg           0/1     Running           0            50s
transaction-service-fd77fcd6-gcsr9      0/1     Error             0            59s
transaction-service-fd77fcd6-gcsr9      0/1     Running           1 (2s ago)   61s
payment-service-5b688ffc75-lxk95        0/1     Error             0            77s
payment-service-5b688ffc75-lxk95        0/1     Running           1 (3s ago)   79s
rewards-service-7d46494c69-tzr86        0/1     Error             1 (51s ago)   98s
rewards-service-7d46494c69-tzr86        0/1     CrashLoopBackOff   1 (4s ago)    100s
user-service-c58b6fd9-5ttdm             0/1     Error              1 (67s ago)   105s
notification-service-79fc5cd765-ssdfg   0/1     Error              0             106s
notification-service-79fc5cd765-ssdfg   0/1     Running            1 (3s ago)    108s
rewards-service-7d46494c69-tzr86        0/1     Running            2 (18s ago)   114s
user-service-c58b6fd9-5ttdm             0/1     CrashLoopBackOff   1 (16s ago)   2m
user-service-c58b6fd9-5ttdm             0/1     Running            2 (18s ago)   2m2s
wallet-service-68ff985b65-fqg7l         0/1     Error              0             2m14s
transaction-service-fd77fcd6-gcsr9      0/1     Error              1 (78s ago)   2m17s
wallet-service-68ff985b65-fqg7l         0/1     Running            1 (2s ago)    2m16s
transaction-service-fd77fcd6-gcsr9      0/1     CrashLoopBackOff   1 (4s ago)    2m21s
kyc-service-7779dc9749-lzg78            0/1     Error              0             2m25s
kyc-service-7779dc9749-lzg78            0/1     Running            1 (2s ago)    2m27s
transaction-service-fd77fcd6-gcsr9      0/1     Running            2 (17s ago)   2m34s
admin-service-6b4c4896f-54xwg           0/1     Error              0             2m33s
admin-service-6b4c4896f-54xwg           0/1     Running            1 (3s ago)    2m35s
rewards-service-7d46494c69-tzr86        0/1     Error              2 (62s ago)   2m38s
rewards-service-7d46494c69-tzr86        0/1     CrashLoopBackOff   2 (2s ago)    2m40s
payment-service-5b688ffc75-lxk95        0/1     Error              1 (86s ago)   2m42s
